,molecule_chembl_id,canonical_smiles,standard_relation,standard_value,standard_units,standard_value_nM
5184,CHEMBL272433,CCSc1cc(NCc2cccs2)nc(-c2ccc(S(C)(=O)=O)cc2)n1,=,833335724.28,nM,833335724.28
5186,CHEMBL270078,CS(=O)(=O)c1ccc(-c2nc(Cl)cc(NCc3cccs3)n2)cc1,=,833335724.28,nM,833335724.28
5229,CHEMBL271338,CS(=O)(=O)c1ccc(-c2nc(NCc3cccs3)cc(C(F)(F)F)n2)cc1,=,476200667.69,nM,476200667.69
5319,CHEMBL346288,CS(=O)(=O)c1ccc(-c2sc3nncn3c2-c2ccccc2)cc1,=,446683592.15,nM,446683592.15
5173,CHEMBL271549,COCCOc1cc(NCc2cccs2)nc(-c2ccc(S(C)(=O)=O)cc2)n1,=,416667857.98,nM,416667857.98
5188,CHEMBL270293,COc1cc(NCc2cccs2)nc(-c2ccc(S(C)(=O)=O)cc2)n1,=,400000007.99,nM,400000007.99
5174,CHEMBL271173,CCOc1cc(NCc2cccs2)nc(-c2ccc(S(C)(=O)=O)cc2)n1,=,300006041.09,nM,300006041.09
5324,CHEMBL347378,COc1cccc(-c2c(-c3ccc(S(C)(=O)=O)cc3)sc3ncnn23)c1,=,257039578.28,nM,257039578.28
5208,CHEMBL270294,CS(=O)(=O)c1ccc(-c2nc(SCc3cccs3)cc(C(F)(F)F)n2)cc1,=,243904604.99,nM,243904604.99
5318,CHEMBL157623,CS(=O)(=O)c1ccc(-c2c(-c3ccccc3)sc3nncn23)cc1,=,229086765.28,nM,229086765.28
5189,CHEMBL271932,COc1cc(NCc2ccccc2)nc(-c2ccc(S(C)(=O)=O)cc2)n1,=,196078510.88,nM,196078510.88
7544,CHEMBL5275257,Cc1nn(-c2ccccc2)c2c1C(c1ccccc1[N+](=O)[O-])C(C#N)=C(/N=C/c1ccccc1)O2,=,193820629.61,nM,193820629.61
5194,CHEMBL403957,CS(=O)(=O)c1ccc(-c2nc(NCc3ccc(Cl)s3)cc(C(F)(F)F)n2)cc1,=,185186788.4,nM,185186788.4
5176,CHEMBL259468,CCN(CC)c1cc(NCc2cccs2)nc(-c2ccc(S(C)(=O)=O)cc2)n1,=,163938138.72,nM,163938138.72
5323,CHEMBL348104,Cc1nc2sc(-c3ccc(S(C)(=O)=O)cc3)c(-c3cccc(F)c3)n2n1,=,151356124.84,nM,151356124.84
5172,CHEMBL271348,CS(=O)(=O)c1ccc(-c2nc(NCc3cccs3)cc(OC3CCCC3)n2)cc1,=,133333721.21,nM,133333721.21
5177,CHEMBL405564,CS(=O)(=O)c1ccc(-c2nccc(NCc3cccs3)n2)cc1,=,108697611.23,nM,108697611.23
5192,CHEMBL271104,CC(C)c1cc(NCc2cccs2)nc(-c2ccc(S(C)(=O)=O)cc2)n1,=,102042243.87,nM,102042243.87
5178,CHEMBL271614,CC(C)Nc1cc(NCc2cccs2)nc(-c2ccc(S(C)(=O)=O)cc2)n1,=,97088993.75,nM,97088993.75
5187,CHEMBL270305,CS(=O)(=O)c1ccc(-c2nc(Cl)cc(NCc3ccccc3)n2)cc1,=,91744491.94,nM,91744491.94
5195,CHEMBL269818,Cc1ccc(CNc2cc(C(F)(F)F)nc(-c3ccc(S(C)(=O)=O)cc3)n2)s1,=,85471239.08,nM,85471239.08
5325,CHEMBL155980,CS(=O)(=O)c1ccc(-c2sc3ncnn3c2-c2cc(F)cc(F)c2)cc1,=,79432823.47,nM,79432823.47
3277,CHEMBL404515,Oc1cc(O)c2cc(O)c(-c3ccc(O)c(O)c3)[o+]c2c1,=,60000000.0,nM,60000000.0
5171,CHEMBL272862,Cc1c(NCc2ccccc2)nc(-c2ccc(S(C)(=O)=O)cc2)nc1C(F)(F)F,=,55555876.01,nM,55555876.01
5326,CHEMBL348645,CS(=O)(=O)c1ccc(-c2sc3ncnn3c2-c2ccc(F)c(F)c2)cc1,=,47863009.23,nM,47863009.23
5166,CHEMBL257678,Cc1c(NCc2ccc(F)cc2)nc(-c2ccc(S(C)(=O)=O)cc2)nc1C(F)(F)F,=,44643681.39,nM,44643681.39
5185,CHEMBL408788,CCSc1cc(NCc2ccccc2)nc(-c2ccc(S(C)(=O)=O)cc2)n1,=,41494448.81,nM,41494448.81
5193,CHEMBL255378,CC(C)c1cc(NCc2ccccc2)nc(-c2ccc(S(C)(=O)=O)cc2)n1,=,39525739.13,nM,39525739.13
5327,CHEMBL156493,CS(=O)(=O)c1ccc(-c2sc3ncnn3c2-c2ccc(F)cc2)cc1,=,36307805.48,nM,36307805.48
5217,CHEMBL270730,Cn1cccc1CNc1cc(C(F)(F)F)nc(-c2ccc(S(C)(=O)=O)cc2)n1,=,34722421.12,nM,34722421.12
5320,CHEMBL346094,CS(=O)(=O)c1ccc(-c2c(-c3ccccc3)sc3ncnn23)cc1,=,32359365.69,nM,32359365.69
5190,CHEMBL405071,CC(C)(C)c1cc(NCc2cccs2)nc(-c2ccc(S(C)(=O)=O)cc2)n1,=,32154369.64,nM,32154369.64
5212,CHEMBL2234864,CS(=O)(=O)c1ccc(-c2nc(NC3CC=CCC3)cc(C(F)(F)F)n2)cc1,=,30395549.56,nM,30395549.56
5164,CHEMBL257677,CS(=O)(=O)c1ccc(-c2nc(Cl)cc(NCc3ccc(F)cc3)n2)cc1,=,29674267.0,nM,29674267.0
5167,CHEMBL257108,Cc1ccc(CNc2nc(-c3ccc(S(C)(=O)=O)cc3)nc(Cl)c2C)cc1,=,27248336.88,nM,27248336.88
5175,CHEMBL406527,CC[S+]([O-])c1cc(NCc2cccs2)nc(-c2ccc(S(C)(=O)=O)cc2)n1,=,26596225.1,nM,26596225.1
5170,CHEMBL272678,Cc1c(NCc2cccs2)nc(-c2ccc(S(C)(=O)=O)cc2)nc1C(F)(F)F,=,26178213.18,nM,26178213.18
5316,CHEMBL6,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,=,25703957.83,nM,25703957.83
5168,CHEMBL257299,Cc1ccc(CNc2cc(Cl)nc(-c3ccc(S(C)(=O)=O)cc3)n2)cc1,=,22522676.55,nM,22522676.55
5328,CHEMBL157820,CS(=O)(=O)c1ccc(-c2sc3ncnn3c2-c2cccc(F)c2)cc1,=,21877616.24,nM,21877616.24
5227,CHEMBL272627,CS(=O)(=O)c1ccc(-c2nc(NCc3ccsc3)cc(C(F)(F)F)n2)cc1,=,21505522.57,nM,21505522.57
5205,CHEMBL270510,Cc1ccc(CNc2cc(C(F)(F)F)nc(-c3ccc(S(C)(=O)=O)cc3)n2)cc1,=,20661412.1,nM,20661412.1
5181,CHEMBL269832,CS(=O)(=O)c1ccc(-c2nc(O)cc(NCc3ccccc3)n2)cc1,=,20284298.83,nM,20284298.83
